
GLboolean GL_ALPHA_TEST               g->buffer.alphatest
GLboolean GL_BLEND                    g->buffer.blend
GLboolean GL_CULL_FACE                g->polygon.cullface
GLboolean GL_COLOR_MATERIAL           GL_FALSE
GLboolean GL_CLIP_PLANE0              g->trans.clip[0]
GLboolean GL_CLIP_PLANE1              g->trans.clip[1]
GLboolean GL_CLIP_PLANE2              g->trans.clip[2]
GLboolean GL_CLIP_PLANE3              g->trans.clip[3]
GLboolean GL_CLIP_PLANE4              g->trans.clip[4]
GLboolean GL_CLIP_PLANE5              g->trans.clip[5]
GLboolean GL_DEPTH_TEST               g->buffer.depthtest
GLboolean GL_DEPTH_WRITEMASK          g->buffer.depthmask
GLboolean GL_FOG                      g->fog.enable
GLboolean GL_LIGHT0                   g->lighting.light[0].enable
GLboolean GL_LIGHT1                   g->lighting.light[1].enable
GLboolean GL_LIGHT2                   g->lighting.light[2].enable
GLboolean GL_LIGHT3                   g->lighting.light[3].enable
GLboolean GL_LIGHT4                   g->lighting.light[4].enable
GLboolean GL_LIGHT5                   g->lighting.light[5].enable
GLboolean GL_LIGHT6                   g->lighting.light[6].enable
GLboolean GL_LIGHT7                   g->lighting.light[7].enable
GLboolean GL_LIGHTING                 g->lighting.lighting
GLboolean GL_LINE_SMOOTH              g->line.linesmooth
GLboolean GL_LINE_STIPPLE             g->line.linestipple
GLboolean GL_PACK_SWAP_BYTES          g->pixel.packswapbytes
GLboolean GL_PACK_LSB_FIRST           g->pixel.packlsbfirst
GLboolean GL_POINT_SMOOTH             g->line.pointsmooth
GLboolean GL_POLYGON_SMOOTH           g->polygon.polygonsmooth
GLboolean GL_POLYGON_STIPPLE          g->polygon.polygonstipple
GLboolean GL_NORMALIZE                g->current.normalize
GLboolean GL_RGBA_MODE                GL_TRUE
GLboolean GL_TEXTURE_GEN_S            g->texture.texturegen.s
GLboolean GL_TEXTURE_GEN_T            g->texture.texturegen.t
GLboolean GL_TEXTURE_GEN_R            g->texture.texturegen.p
GLboolean GL_TEXTURE_GEN_Q            g->texture.texturegen.q
GLboolean GL_TEXTURE_1D               g->texture.enabled1d
GLboolean GL_TEXTURE_2D               g->texture.enabled2d
GLboolean GL_TEXTURE_3D               g->texture.enabled3d
GLboolean GL_UNPACK_SWAP_BYTES        g->pixel.unpackswapbytes
GLboolean GL_UNPACK_LSB_FIRST         g->pixel.unpacklsbfirst
